species,status,trend
Oenothera affinis,"NA","NA"
Eryngium elegans,"NA","NA"
Daucus pusillus,LC,Stable
Ginkgo biloba,EN,NA
Neltuma affinis,"NA","NA"
Aspidosperma quebracho-blanco,LC,Stable
Apis mellifera,"NA","NA"
Euryops chrysanthemoides,"NA","NA"
Camponotus mus,"NA","NA"
Ipomoea indica,"NA","NA"
Erythrolamprus poecilogyrus,LC,Increasing
Argyranthemum frutescens,"NA","NA"
Lobelia erinus,"NA","NA"
Polygala myrtifolia,"NA","NA"
Passiflora caerulea,"NA","NA"
Eurata hilaris,"NA","NA"
Senecio selloi,"NA","NA"
Senecio crassiflorus,"NA","NA"
Aglaonema commutatum,"NA","NA"
Verbena montevidensis,"NA","NA"
Hypoxis decumbens,"NA","NA"
Eristalis tenax,"NA","NA"
Asthenoctenus borellii,"NA","NA"
Senecio angulatus,"NA","NA"
Porcellio laevis,"NA","NA"
Arachosia praesignis,"NA","NA"
Euborellia annulipes,"NA","NA"
Rumohra adiantiformis,LC,Stable
Tragia geraniifolia,"NA","NA"
Calligrapha polyspila,"NA","NA"
Plantago tomentosa,"NA","NA"
Briza maxima,"NA","NA"
Passer domesticus,LC,Decreasing
Ricinus communis,"NA","NA"
Solanum laxum,"NA","NA"
Edessa meditabunda,"NA","NA"
Eriopis connexa,"NA","NA"
Gymnetis chalcipes,"NA","NA"
Ulmus minor,DD,Unknown
Populus alba,LC,Decreasing
Manihot grahamii,"NA","NA"
Solanum americanum,"NA","NA"
Zantedeschia aethiopica,LC,Unknown
Plantago major,LC,Unknown
Myiophobus fasciatus,LC,Increasing
Furnarius rufus,LC,Increasing
Tetrapanax papyrifer,LC,Stable
Phimosus infuscatus,LC,Stable
Panicum racemosum,"NA","NA"
Lupinus multiflorus,"NA","NA"
Cakile maritima,"NA","NA"
Gomphrena perennis,"NA","NA"
Margyricarpus pinnatus,"NA","NA"
Echium plantagineum,"NA","NA"
Melilotus indicus,"NA","NA"
Didelphis albiventris,LC,Stable
Nicotiana longiflora,"NA","NA"
Lantana camara,"NA","NA"
Zenaida auriculata,LC,Increasing
Strelitzia reginae,"NA","NA"
Carya illinoinensis,LC,Stable
Medicago sativa,LC,Stable
Harmonia axyridis,"NA","NA"
Cornu aspersum,"NA","NA"
Steatoda grossa,"NA","NA"
Oecobius navus,"NA","NA"
Bulimulus bonariensis,"NA","NA"
Lotus subbiflorus,"NA","NA"
Maytenus ilicifolia,"NA","NA"
Cyperus reflexus,"NA","NA"
Lippia alba,"NA","NA"
Sisyrinchium platense,"NA","NA"
Glandularia selloi,"NA","NA"
Rhea americana,NT,Decreasing
Musca domestica,"NA","NA"
Heliotropium amplexicaule,"NA","NA"
Eudiagogus episcopalis,"NA","NA"
Scytodes globula,"NA","NA"
Rhinella arenarum,LC,Stable
Paraphimophis rusticus,"NA","NA"
Dasypus septemcinctus,LC,Unknown
Nyctibius griseus,LC,Decreasing
Herbertia lahue,"NA","NA"
Trifolium subterraneum,LC,Stable
Hypochaeris albiflora,"NA","NA"
Evolvulus sericeus,"NA","NA"
Baccharis trimera,"NA","NA"
Senecio bonariensis,"NA","NA"
Chascolytrum subaristatum,"NA","NA"
Verbascum virgatum,"NA","NA"
Scinax granulatus,LC,Stable
Solanum sisymbriifolium,"NA","NA"
Anemone decapetala,"NA","NA"
Aristida murina,"NA","NA"
Nierembergia calycina,"NA","NA"
Baccharis dracunculifolia,"NA","NA"
Salvator merianae,LC,Stable
Nassella charruana,"NA","NA"
Amphisbaena darwinii,"NA","NA"
Nassella neesiana,"NA","NA"
Lolium arundinaceum,"NA","NA"
Chascolytrum brizoides,"NA","NA"
Briza minor,"NA","NA"
Bromus hordeaceus,"NA","NA"
Myiodynastes maculatus,LC,Stable
Stelgidopteryx ruficollis,LC,Stable
Elaenia parvirostris,LC,Stable
Pyrocephalus rubinus,LC,Increasing
Progne chalybea,LC,Stable
Xolmis irupero,LC,Stable
Agelaioides badius,LC,Stable
Tachycineta leucorrhoa,LC,Increasing
Drymornis bridgesii,LC,Stable
Patagioenas maculosa,LC,Increasing
Tyrannus savana,LC,Stable
Paroaria coronata,LC,Stable
Chlorostilbon lucidus,LC,Unknown
Poospiza nigrorufa,LC,Stable
Feijoa sellowiana,LC,Stable
Sporophila hypoxantha,LC,Stable
Schizocosa malitiosa,"NA","NA"
Pteris vittata,LC,Increasing
Regnellidium diphyllum,"NA","NA"
Drymaria cordata,"NA","NA"
Latrodectus geometricus,"NA","NA"
Aechmea recurvata,"NA","NA"
Oldenlandia salzmannii,"NA","NA"
Clinopodium brownei,"NA","NA"
Dietes iridioides,"NA","NA"
Porophyllum linifolium,"NA","NA"
