taxon_name,taxon_rank,identifications_count,created_at,observed_on,longitude,latitude,positional_accuracy,user_login,user_id,user_name,user_observations_count,license_code,num_identification_agreements,uri
Noctuinae,subfamily,1,2023-10-11T11:35:38-03:00,2022-10-29,-56.1383576621,-34.8804495014,61,natu2kite,7507269,Natalia Villar Calo,55,cc-by-nc,1,https://www.inaturalist.org/observations/187121791
Tarentola mauritanica mauritanica,subspecies,3,2023-06-29T23:16:22-03:00,2022-10-29,-56.1108945,-34.8914383333,40,victoria_morales,6616369,Victoria Morales,193,cc-by-nc,2,https://www.inaturalist.org/observations/170214186
Danaus erippus,species,6,2023-06-12T03:41:11-03:00,2022-10-29,-55.9877047688,-34.855217075,122,paola_torres,6416120,Paola Torres,152,cc-by-nc,6,https://www.inaturalist.org/observations/166969933
Ardea alba,species,6,2023-06-09T21:04:16-03:00,2022-10-29,-55.9884702042,-34.8473970383,146,paola_torres,6416120,Paola Torres,152,cc-by-nc,6,https://www.inaturalist.org/observations/166503855
Austroeupatorium inulifolium,species,1,2023-05-26T21:32:19-03:00,2022-10-28,-55.7452293858,-34.2148591881,11,luciano_patron,4794023,Luciano Patrón,557,cc-by-nc,1,https://www.inaturalist.org/observations/163907004
Pavonia hastata,species,0,2023-05-26T21:10:10-03:00,2022-10-28,-55.7452149689,-34.2148187093,103,luciano_patron,4794023,Luciano Patrón,557,cc-by-nc,0,https://www.inaturalist.org/observations/163903962
Embernagra platensis,species,1,2023-05-19T21:52:36-03:00,2022-10-28,-55.7450389646,-34.2149790448,4,luciano_patron,4794023,Luciano Patrón,557,cc-by-nc,1,https://www.inaturalist.org/observations/162579439
Calanidae,family,1,2023-05-10T02:58:31-03:00,2022-10-28,-56.1172876507,-34.8820816085,221,franco_mendez,6811809,,40,cc-by-nc,1,https://www.inaturalist.org/observations/160864486
Hypochaeris albiflora,species,2,2023-05-03T15:53:13-03:00,2022-10-29,-55.614628325,-30.9334426821,31,gmmv80,1439323,Guillermo Menéndez,2241,cc-by-nc,2,https://www.inaturalist.org/observations/159489582
Danaus erippus,species,2,2023-04-24T09:20:52-03:00,2022-10-29,-53.7776889279,-34.3467391118,1342,leyla11,2659407,Leyla Cuello,46,cc-by-nc,2,https://www.inaturalist.org/observations/156403339
Xyleus discoideus,species,2,2023-02-22T00:49:10-03:00,2022-10-29,-58.0990893742,-33.2643771793,9,joselinlistur,2390056,Joselin Listur,316,NA,2,https://www.inaturalist.org/observations/149378533
Vittaria lineata,species,2,2023-02-14T21:24:50-03:00,2022-10-31,-53.6581166667,-32.2883833333,23,lyn_loveless,3599647,Lyn (M.D.) Loveless,304,cc-by-nc,2,https://www.inaturalist.org/observations/148794642
