id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_state_name,place_country_name,place_admin1_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
140245619,2022-10-28 08:38:44,2022-10-28,2022-10-28 11:38:44 UTC,Montevideo,2513727,diego_caballero,Diego Caballero,2022-10-28 11:39:52 UTC,2022-10-28 16:42:58 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/140245619,https://inaturalist-open-data.s3.amazonaws.com/photos/240039453/medium.jpeg,,"",,1,0,false,2,"Departamento de Flores, Uruguay",-33.1535341,-57.143743,,,,,,,,false,gps,gps,Flores,Uruguay,Flores,Suspiro,Oenothera affinis,Suspiro,Plantae,165785,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera affinis,
140245714,2022-10-28 08:38:00,2022-10-28,2022-10-28 11:38:00 UTC,Montevideo,2513727,diego_caballero,Diego Caballero,2022-10-28 11:41:43 UTC,2022-10-28 23:26:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/140245714,https://inaturalist-open-data.s3.amazonaws.com/photos/240039657/medium.jpeg,,"",,2,0,false,2,"Departamento de Flores, Uruguay",-33.1535341,-57.143743,,,,,,,,false,gps,gps,Flores,Uruguay,Flores,Eryngium elegans,Eryngium elegans,,Plantae,544212,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,Eryngium elegans,
140245781,2022-10-28 08:37:52,2022-10-28,2022-10-28 11:37:52 UTC,Montevideo,2513727,diego_caballero,Diego Caballero,2022-10-28 11:42:46 UTC,2022-10-28 16:42:17 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/140245781,https://inaturalist-open-data.s3.amazonaws.com/photos/240039826/medium.jpeg,,"",,1,0,false,2,"Departamento de Flores, Uruguay",-33.1535341306,-57.1437430556,,,,,,,open,false,gps,gps,Flores,Uruguay,Flores,Zanahoria de monte,Daucus pusillus,Zanahoria de monte,Plantae,56726,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,Daucus pusillus,
140245828,2022-10-28 08:43:04,2022-10-28,2022-10-28 11:43:04 UTC,Montevideo,5708563,daviregeloa,,2022-10-28 11:43:57 UTC,2023-01-13 15:10:22 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/140245828,https://inaturalist-open-data.s3.amazonaws.com/photos/240039896/medium.jpeg,,"",Gingko biloba,3,0,true,2,Uruguay,-32.336175,-58.082995,1,,,,1,,open,false,,,Paysandú,Uruguay,Paysandú,Ginkgo biloba,Ginkgo biloba,Ginkgo,Plantae,64350,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,Ginkgo biloba,
140245920,2022-10-28 08:44:25,2022-10-28,2022-10-28 11:44:25 UTC,Montevideo,5708563,daviregeloa,,2022-10-28 11:45:05 UTC,2023-02-07 19:35:53 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/140245920,https://inaturalist-open-data.s3.amazonaws.com/photos/240040070/medium.jpeg,,"",Gingko biloba,0,0,true,2,Paysandú Uruguay,-32.3361683333,-58.0827266667,1,,,,1,,open,false,,,Paysandú,Uruguay,Paysandú,Gingko biloba,Ginkgo biloba,Ginkgo,Plantae,64350,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,Ginkgo biloba,
140246267,2022-10-28 08:49:03,2022-10-28,2022-10-28 11:49:03 UTC,Montevideo,5708563,daviregeloa,,2022-10-28 11:49:58 UTC,2023-01-13 15:10:20 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/140246267,https://inaturalist-open-data.s3.amazonaws.com/photos/240040726/medium.jpeg,,"",Gingko biloba,0,0,true,2,Uruguay,-32.336195,-58.0827983333,1,,,,1,,open,false,,,Paysandú,Uruguay,Paysandú,Ginkgo,Ginkgo biloba,Ginkgo,Plantae,64350,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,Ginkgo biloba,
140246338,2022-10-28 08:50:03,2022-10-28,2022-10-28 11:50:03 UTC,Montevideo,5708563,daviregeloa,,2022-10-28 11:50:57 UTC,2023-01-13 15:10:19 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/140246338,https://inaturalist-open-data.s3.amazonaws.com/photos/240040873/medium.jpeg,,"",Gingko biloba,2,0,true,2,Uruguay,-32.336305,-58.08278,1,,,,1,,open,false,,,Paysandú,Uruguay,Paysandú,Ginkgo biloba,Ginkgo biloba,Ginkgo,Plantae,64350,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,Ginkgo biloba,
140246414,2022-10-28 08:51:25,2022-10-28,2022-10-28 11:51:25 UTC,Montevideo,5708563,daviregeloa,,2022-10-28 11:52:03 UTC,2023-02-07 19:38:12 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/140246414,https://inaturalist-open-data.s3.amazonaws.com/photos/240040975/medium.jpeg,,"",Gingko biloba,0,0,true,2,Uruguay,-32.336305,-58.0827916667,1,,,,1,,open,false,,,Paysandú,Uruguay,Paysandú,Gingko biloba,Ginkgo biloba,Ginkgo,Plantae,64350,Plantae,Tracheophyta,Ginkgoopsida,Ginkgoales,Ginkgoaceae,Ginkgo,Ginkgo biloba,
140247394,2022-10-28 09:03:25,2022-10-28,2022-10-28 12:03:25 UTC,Montevideo,5708563,daviregeloa,,2022-10-28 12:03:57 UTC,2023-09-01 21:34:04 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/140247394,https://inaturalist-open-data.s3.amazonaws.com/photos/240042764/medium.jpeg,,"",Prosopis,0,0,true,2,Uruguay,-32.337575,-58.080155,1,,,,1,,open,false,,,Paysandú,Uruguay,Paysandú,Ñandubay,Neltuma affinis,Ñandubay,Plantae,1493103,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Neltuma,Neltuma affinis,
140247530,2022-10-28 09:04:37,2022-10-28,2022-10-28 12:04:37 UTC,Montevideo,5708563,daviregeloa,,2022-10-28 12:05:57 UTC,2022-12-12 20:38:09 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/140247530,https://inaturalist-open-data.s3.amazonaws.com/photos/240042992/medium.jpeg,,"",Aspidosperma quebracho blanco ,0,0,true,2,Uruguay,-32.3375816667,-58.08027,1,,,,1,,open,false,,,Paysandú,Uruguay,Paysandú,quebracho blanco,Aspidosperma quebracho-blanco,quebracho blanco,Plantae,424095,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Aspidosperma,Aspidosperma quebracho-blanco,
