taxon_name,taxon_id,taxon_rank,observations_count
Oenothera affinis,165785,species,342
Eryngium elegans,544212,species,256
Daucus pusillus,56726,species,4402
Ginkgo biloba,64350,species,25678
Neltuma affinis,1493103,species,192
Aspidosperma quebracho-blanco,424095,species,554
Apis mellifera,47219,species,376202
Arctiinae,47606,subfamily,1026182
Pterostichini,202057,tribe,34310
Camponotus,62781,genus,182797
Scaritini,423149,tribe,18738
Euryops chrysanthemoides,162895,species,1801
Dianthus,60001,genus,104398
Magnoliopsida,47124,class,59275981
Haworthiopsis,576771,genus,5185
Coleoptera,47208,order,5975345
Toxomerus,58753,genus,82138
Camponotus mus,416827,species,1612
Ipomoea indica,77496,species,14084
Erythrolamprus poecilogyrus,539693,species,1006
Argyranthemum frutescens,181635,species,3440
Rhipicephalus,172349,genus,2415
Lobelia erinus,77797,species,6265
Polygala myrtifolia,181610,species,7407
Passiflora caerulea,51454,species,12574
Eurata hilaris,1148830,species,108
Senecio selloi,790303,species,286
Clytrini,418621,tribe,26816
Senecio crassiflorus,380978,species,356
Aglaonema commutatum,158118,species,1210
Verbena montevidensis,170151,species,141
Lepidoptera,47157,order,18557913
Hypoxis decumbens,283656,species,704
Eristalis tenax,55719,species,52220
Pyracantha,54052,genus,22294
Asthenoctenus borellii,372151,species,461
Euophryini,712073,tribe,70516
Orphulella,119622,genus,6809
Senecio angulatus,363595,species,2321
Porcellio laevis,296087,species,3376
Arachosia praesignis,549594,species,448
Euborellia annulipes,196419,species,8412
Rumohra adiantiformis,168255,species,1977
Tragia geraniifolia,790338,species,35
Hordeum,52797,genus,50956
Calligrapha polyspila,489736,species,597
Plantago tomentosa,962891,species,179
Briza maxima,57157,species,13746
Passer domesticus,13858,species,273591
Ricinus communis,56739,species,40771
Solanum laxum,128667,species,2663
Edessa meditabunda,481877,species,1180
Eriopis connexa,418185,species,3376
Metaltella,172541,genus,4822
Gymnetis chalcipes,713893,species,310
Ulmus minor,79461,species,12321
Populus alba,47570,species,20419
Manihot grahamii,165140,species,656
Musa × paradisiaca,170883,hybrid,7580
Solanum americanum,59035,species,12393
Zantedeschia aethiopica,56006,species,20720
Coccidae,49456,family,13816
Plantago major,58961,species,68611
Myiophobus fasciatus,16862,species,1311
Furnarius rufus,11275,species,11816
Tetrapanax papyrifer,372170,species,2623
Abutilon,53864,genus,29087
Phimosus infuscatus,3736,species,6322
Panicum racemosum,332785,species,98
Lupinus multiflorus,847990,species,87
Cakile maritima,60982,species,21997
Asclepias × aequicornu,896692,hybrid,39
Gomphrena perennis,1077201,species,95
Margyricarpus pinnatus,410703,species,726
Eleocharis,57022,genus,27477
Echium plantagineum,76764,species,14394
Elateridae,53248,family,180211
Melilotus indicus,57065,species,13124
Didelphis albiventris,42658,species,1896
Actinote,134174,genus,7238
Juncus,52643,genus,129153
Arctiini,82089,tribe,789647
Nicotiana longiflora,165704,species,734
Phaedon,178407,genus,2081
Verbena,53317,genus,130559
Nysius,176621,genus,8647
Lantana camara,50333,species,56183
Zenaida auriculata,3439,species,20696
Strelitzia reginae,49143,species,10191
Carya illinoinensis,67593,species,17733
Medicago sativa,57057,species,35007
Harmonia axyridis,48484,species,267948
Cornu aspersum,480298,species,70761
Steatoda grossa,61997,species,16775
Oecobius navus,226250,species,4401
Bulimulus bonariensis,831286,species,2173
Parkinsonia,62834,genus,34826
Lotus subbiflorus,129169,species,1037
Maytenus ilicifolia,431288,species,296
Helicellinae,861158,subfamily,14322
Ambrosia,53036,genus,124655
Plantae,47126,kingdom,77396241
Breda,328081,genus,729
Cyperus reflexus,161481,species,78
Brachymyrmex,68941,genus,7168
Lippia alba,223926,species,1800
Sisyrinchium platense,424124,species,191
Agaricus,49548,genus,105442
Mimosa,47450,genus,63947
Glandularia selloi,781611,species,212
Sciapodinae,321397,subfamily,71262
Coccinellini,333796,tribe,735797
Anthophila,630955,epifamily,2435438
Formicidae,47336,family,953714
Rhea americana,20512,species,2368
Musca domestica,120156,species,20046
Heteroptera,61267,suborder,2451010
Heliotropium amplexicaule,77363,species,2198
